otel_adi,yorum,yorum_basligi,puan,yorum_tarihi,konum,konaklama_tarihi,seyahat_turu,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,musteri_toplam_yorum_sayisi
Green Bay Resort & Spa,"Bu işletmede 4 gün kaldık güzel olan şeylerde vardı kötü olanlarda. Sakinlik istiyorsanız güzel bir yer. Yemekler diğer otellere göre faza çeşit olmasa da idare eder diyelim. Bazı günler yemekler güzel çıkarken bazen de çok kötü olabiliyor. Snack bar kısmında çıkan yiyeceklerde değişiklik yapsalar iyi olur. Hep aynı şeyler veriliyor. Birinci günden sonra sıkıcı oluyor. Özellikle sürekli açık olan kısımda çıkan çaylar çok kötü. Birde bazı elemanlar müşteriye iyi davranmıyor. Özellikle orada çalışan bir bayan garson garip makyaj yapan söylenen şeyleri duymazdan geliyor ve müşterileri önemsemiyor ve hiç gülümsemiyor, sanki zorla çalıştırılıyor. Yemekhane personeli çok iyi sürekli yardımcı oluyorlar ve görevlerini yapıyorlar. Saat 10 dan sonra açılan ve disko kısmı olarak bilenen kısımda çalışan yönetici ve müzikleri yapan kişilerden şikayetçiyim. Türk misafirlere hiç de iyi davranmıyorlar. Ruslar söz konusu olduğunda her istenilen müziği çaldıkları halde Türk misafirlerin isteklerini geri çeviriyorlar. Üst üste 7 Rusça şarkı çalarken bir tane bile Türkçe çalmıyorlar. Sanki Türkiye de yaşamıyoruz. Gelen turist yaş ortalaması 30-50 civarında olan insanları sen yabancı anlaşılmayan müzikler çalarak harekete geçiremezsin. Orada görev yapanların buna dikkat edip ona göre müzik çalmaları daha iyi olacaktır. O kısımda animasyondan ve müzikten sorumlu arkadaşın uyarılması gerekir. Diğer şeylerden verilen içeceklerde mesela gerçek meyve suları da verilmeli hiç bir sıkılmış meyve suyu yoktu. Tüm içeceklerde yapay meyve suları vardı. En son olarak da otelin denizi. Buna otelinde yapacak bir şeyi yok ama eğer saydam bir deniz istiyorsanız bu otel seçeneğiniz olmamalı. Kapalı bir koya yerleşmiş olduğu için su akıntısı yok dolayısıyla su sirkülasyonu tam olmayınca temizlik te am olmuyor. Su da ayrıca parıldayan askıda duran partiküller var bunların analiz ettirilip insan sağlığına bir zararı var mı yok mu kontrol ettirilmesi gerekir. Otele ait izlenimlerim bu kadardır.",Sakin bir otel ama,4,Ağu 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Otele 4 puan veriyorum onuda sadece animasyon ekibine hizmetlerden genel olarak memnun olduğumu söyleyebilirim personel eksikliği ve yemekler vasat personel eksikliği açık sekıidr gözlemlenebiliyor yemek saatlerinde içecek servisi bile yok onun dışında animasyon ekibinden çok memnun kaldık işlerini severek yaptıkları belli. Aktiviteleri eğlenceleri ilgi ve alakaları yeterli düzeyde özelliklede mini cluptan çok memnun kaldık çocuklara yaklaşımları etkinlikleride yeterli seviyede ayrıca mini cluptan Zehra hanıma da güler yüzlülüğü ve bizimle olan ilgisi içinde çok teşekkür ediyorum. Dediğim gibi tek bizi memnun eden animasyon ekibiydi,Animasyon dışında memnun kalmadık,4,Ağu 2024,,Ağustos 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Otel gercekten cok iyi konum olarak harika bir koyda gercekten cok keyif aldik yemekleri lezzetli ve cesitli ozellikle animassyin ekibinden cok memnun kaldik cok ilgil teskkur ediyirum herkese tavsiye ederim gonul rahatligiyla gelebikirsiniz,Harika,5,Ağu 2024,,Ağustos 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"Değerli Gökçe Ç, Zamanınızı ayırıp otelimizle ilgili yorum yazdığınız için teşekkür ederiz! Bu tür eleştiriler sayesinde hizmet kalitemizi yükseltebiliyoruz. Misafirlerimize en iyi konaklama hizmetini sunmak isterken görülüyor ki bu sefer başarılı olamadık. Güveninizi tekrar kazanabilmek için bize bir şans verirseniz, diğer misafirlerimizin vazgeçemediği muhteşem konaklama deneyimlerini size de yaşatabilmek için elimizden geleni yapacağımızı garanti ederiz. Saygılarımızla,",Rezillik,1,Ağu 2024,,Ağustos 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,"Otele geçen sene geldik tam anlamıyla fiyat performanstı .Bu sene havlu almak bile ikili ilişki ile oldu .Oda temizliği için kendim temizlikçi ile iletişime geçtim ancak temizliği yaptırdım . Tam anlamıyla rezalet .Otel el değiştirmiş anlıyorum fakat bu kadar ilgisiz sahipsiz bir işletme görmedim . Çalışanlara sorunu söyleyince yakan top oynuyorlar . Havuz aşırı kirli temizlik yok . İyi yanı yemekleri lezzetli ,Alkol kalite ama barmenler de otelin işletmesine ayak uydurmuş durumda .",Rezalet,1,Ağu 2024,,Ağustos 2024,Aileyle seyahat etti,,,,,,5 katkı
Green Bay Resort & Spa,"Yemyeşil bir doga, kendine ait bir koyda, harika bir tesis. 2 cocugumuzla aile odasında kaldık. Havuzlar, kaydıraklar, deniz ve odamız mükemmeldi. Şezlong ve havlu derdi asla yaşamadık. Yemekler dört dörtlüktü, şefler, garsonlar, animasyon ekibi ve hatta cankurtaranlar bile o sıcakta muthis performans sergilediler. Harika vakit geçirdik. Tüm personel guleryuzlu ve yardımcıydı. (Keske personelin calisma saatleri daha makul olsaydı, bir tek onu elestirebilirim, cok yorucu bir tempo. )Mutlaka önerilecek bir tesis.",Süper Tesis,5,Ağu 2024,,Ağustos 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,"Çok büyük umutlarla gittiğim otelin bu kadar vasat olması beni üzdü. Eski bir otel olması bir yana çalışan eksikliği inanılmaz hissediliyordu. Odaların temizliği inanılmaz yetersiz odaya gelip sadece yatakları topluyorlar, silmek süpürmek yok. Odalardaki banyolar şikayet etmeden asla temizlenmiyor. 3 gün boyun lavabo kenarındaki kıl vb şeylerin alınmadı taki şikayet edene kadar. Ana restoran daki yemekler sürekli tekrar düşüyordu. Hergün aynı mezeler aynı tatlılar. Makarna alıyorsunuz buz gibi. Alakart restoranda balık kısmını seçmiştik ama ondan da memnun kalmadık. Havuzlar inanılmaz pis. Asla süpürülmüyor. Snack restoran bölümündeki sandalyeler kırık. Ana restoran daki sandalyeler yapış yapış yağlı. Tüm bunların yanında Snack bardaki Neşe hanım, 4.8 Feet Bardaki akşam çalışanı Ahmet, Ana restorandaki Veysel güler yüzleriyle açığı kapatmaya çalışıyorlar. Animasyon ekibindeki herkes inanılmaz şeker, güleryüzlü ve ilgililer. Özellikle Sinan, Taylan, Gamze, Eylül ve Ege (aklımda kalan isimler) çok ilgili ve sıcak kanlılardı. Bunların haricinde çok güzel bir denize sahip sadece.",Bakımsız ve yetersiz,2,Ağu 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"En son bir hafta önce greenbay resort otele eşim ve oğlum ile birlikte geldiğimde bize tahsis edilen odanın temizliğinin detaylı olarak yapılmadığını odanın kullanım için yetersiz, demode olmuş banyo, soğutmayan buzdolabı, birde balkonu içler acısı ki iki balkonu çağdışı bir yöntemle plastik bir levhayla ikiye böldüklerini görünce neye uğradığımızı şaşırdım. İlk görünüş bende ve ailemde olumsuz bir durum yarattı. Odanın değiştirilmesini talep ettiysek te bir sonuç alamadık. Çünkü hepsinde buna benzer sorun olduğu anlaşılıyordu. Hatta ayrılmayı bile düşündük ancak uzun bir yorucu yolculuk sonunda buradan bu şekilde olan oldu diyerek tatilime devam ettim. Otel barınma ve diğer faaliyetleri ile tamamen tezat oluşturduğunu fark ettim. Konaklama dışında herşey güzeldi. Deniz, havuz, barlar eğlence aktiviteleri oldukça mükkemmeldi çalışan görevliler özellikle sinek barda bulunan Neşe Coşkun ve Halil Kılıç olağanüstü derecede biz misafirlerine hizmetlerini en iyi şekilde yerine getirdiler. Yemeklere gelince bol çeşitli ve lezzetliydiler. Tesisin ikinci bir sorunu ise Alacart restoran bölümü olup adından da bahsedileceği gibi sipariş menüsü olmadan yani sipariş vermeden Burada bulunan şef bizlere Türk mutfağında ellerinde 3 adet menü bulunduğunu bunların da Edirne tava ciğeri, beyti kebap ve tavuk şiş olduğunu ve bunları servis edeceklerine söyledi bunun üzerine tam bir hayal kırıklığı yaşadık alakart restoranı böyle olmamalı sonuçta istediğini yiyebilmelisin istemediğin bir yiyecek sana dayatılmamalı bunun üzerine gelen menüyü yiyemedik ve masadan kalktık alakart restoranı dayatma usulü olarak çalışmamalı dır. Restoran bölümünde alakart restoranından daha fazla çeşit olduğunu gördüğümüzde alakart restoranının bir anlam ifade etmediğini fark ettik bu belirtmiş olduğum iki sorunun dışında yemek ve eğlence konusunda sorunu olmayan tesisin acil olarak odalarını yenilemesi ve alakart restoranına çözüm bulması gereklidir.",Aktiviteleri mükemmel ötesi,4,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"Üst üste 3 yıldır geldiğimiz Green Bay Resort & Spa bizim için artık misafirlikten ziyade, anne babamızın yazlık evine gelmişiz hissini yaşatan bir yer. Bu sıcaklığı bize hissettiren ise tamamen Green Bay Resort & Spa ailesi. Öyle ki, bir süredir peynir tatlısını özlediğimi belirttiğim sevgili Hamit Şef’in isteği üzerine mutfaktaki arkadaşlar hemen ertesi gün peynir tatlısı hazırladılar, harika bir jestti 😊. Her gün oradaymışız gibi sohbet ettiğimiz, en ufak sorunumuzda bile ilgilenen ve sürekli sahada her şeyi koordine eden sevgili Mustafa Mızrak Bey'e, son gün bizi güzel bir jestle uğurlayan ve yoğun programına rağmen masamıza gelip bizimle sohbet eden sevgili Güngör Şef 'e, Snack Restoran’da hem restoranı yönetip calisanlarin yetisemedigi yerde hem masaları toparlayıp hem de çay servisi yaparak ve her zaman güler yüzüyle bizi karşılayan sevgili Sebahittin Bey'e, restoranda güler yüzüyle bizi karşılayıp servis yapan sevgili Veysel Bey'e, güzel kokteylleri ve güler yüzüyle Lobby Bar’daki sevgili Kadir Bey'e, çocuklarımıza dondurma servisi yaparken enerjisiyle bizi mest eden cocuklarimizin Halime Teyzesi sevgili Halime Hanim’a ve zarif sohbeti için çok sevgili Seval Hanım'a teşekkür ederiz. Sayenizde harika anılarımız oldu ve ayrılırken yine hüzünlendik. Yeni yönetimi merak ediyorduk ve gördük ki gelecek sezon için birçok güzel projeyle oldukça motive olmuş bir ekip var. Bu sezon yetiştiremedikleri her şeyi gelecek sezon hayata geçirmek için şimdiden çalışmalara başlamışlar. Biz de gelecek yıl için şimdiden gün sayıyoruz. Bu yıl birçok şey değişmiş, özellikle kalite anlamında. Kullanılan ürünlerin kalitesini hemen fark ediyorsunuz. Ortak kullanım alanlarındaki lavabolar ve tuvaletler her daim tertemiz. Snack Restoran’daki yerler sürekli temizdi, denizden gelen giden birçok kişiye rağmen rahatsız edici hiçbir durum yoktu; oradaki beyefendi sürekli işinin başındaydı. Plaj da sürekli temizleniyordu. Biz havuzları kullanmadık ama sanırım bu konuda da yeni projeler var. Animasyon ekibi daha canlı bir hale gelmiş, tüm gün güzel enerjileriyle tatilimizi güzelleştirdiler; sevgili Gamze ve Eylül Hanım’a çok teşekkür ediyoruz. Buraya gelmek bizi her zaman mutlu ediyor; sebebini düşündüğümüzde anladık ki, ekibin içtenliği, samimiyeti ve ilgisi. Herkese emekleri için ayrı ayrı teşekkür ediyoruz. Sevgili Güngör Şef’e, Hamit Şef’e ve mutfak ekibine de özenli, lezzetli ve harika yemekleri için teşekkür ederiz. (Güngör Şef’im, yemeklerinizi her yediğinde mest olan eşimden bu teşekkür 😊) En kısa zamanda görüşmek üzere, biliyorsunuz Danimarka’da ki gönüllü elçileriniz her daim kulaklarınızı çınlatıyor.",Hiç Bitmese Keşke Dediğimiz Bir Tatildi!,5,Tem 2024,Danimarka,Temmuz 2024,Aileyle seyahat etti,,,,,,40 katkı
Green Bay Resort & Spa,"Otel çok güzel ve çok temiz çalışanlar çok ilgili ilk defa Türklerin böyle hizmet aldığı Baska otel yoktur. Ufak problemlerin halledilme süresi sadece 10 dakika. Crystal değil ve yorumlar kötü diye rezervasyonları iptal ettirecektir. Şuan ayrılıyoruz iyiki buradaydık. Öncelikle Şafak, Selin ve Aksaraylı arkadaşa selamlar.",Temiz güzel güvenli ve aile dostu,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,6 katkı
Green Bay Resort & Spa,Oncelikle burada tek belirtmek istedigim sicak bir havanin yaninda animasyon ekibinin cok samimi olmasi biz ve cocuklarimla cok ilgilendiler adeta bir kardeslerdi diyebilirim oteldeki her gunumuz dolu dolu gecti ve cok eglendik ( animasyon ) ekibi ile birlikte helsine birer birer tesekkur ediyoruz emeklerinize saglik ama ayni isi yaptigim canim kardesim dj romeo ya ayrica tesekkur ediyoruz.Bu arada unutmadan cocuklarimizi guvenerek emanet ettigimiz gamze ve havuz ve diger oyunlarda oglumla ilgilenen taylan abisinede teşekkür ederim!! Geliste bizi karsiliyan cihat kardesim ve bizimle ilgilenen serhat mudur de saolsun . . Memnun olmadigimiz yerlerden bir otel genelinde tuvalet az ve temizliginde eksik var.Odamizdaki televizyonumuz calismiyor. Yemek cesitleri az bardak ve tabaklar temiz degil genelde dudak izleri var lekeler ben 5 yildizli otel degilde 4 yildizli otel diyebilirim,5 yildiz degilde 4 yildiz,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,4 katkı
Green Bay Resort & Spa,"Selamlar ben ailemle temmuz ayında,bu gun son gunum bırada tatil yaptıq.İlk gunden berı butun personal bızımle ilgilendi,her ne dediksek ne istediysek hemen yardımcı oldular.Özellikle Selin xanim reseprionda,Ülkü,Kadir çpx sagolsunlar,çoc yardimcı oldular,gelirmiyim evet🙏🏻",Teşekkürname,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Doğukan barmen 4.8 feet çok iyi ...animasyon görevlisi ege beyefendi çok ilgiliydi yemekler çok iyiydi..fakat olumsuz olarak ultra herşey dahil bir otelde mısırın paralı olması bize komik geldi ve otele yakışmadı bence çocukların istediği özendigi birşeyi bu şekilde paralı yapması hiç hoş değildi .tam bir aile oteli gece 12 den sonra hayat bitiyor biz pek sevmedik disco var ama açık değil .biz Antalya otellerini baya görmüş biri olarak eğer çocuğunuz var diye eğlenmek yok diyorsaniz ege...,Benim nacizane görüşlerim,3,Tem 2024,"Selçuklu, Türkiye",Temmuz 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,"Değerli 417_zgey, Zamanınızı ayırıp otelimizle ilgili yorum yazdığınız için teşekkür ederiz! Bu tür eleştiriler sayesinde hizmet kalitemizi yükseltebiliyoruz. Misafirlerimize en iyi konaklama hizmetini sunmak isterken görülüyor ki bu sefer başarılı olamadık. Güveninizi tekrar kazanabilmek için bize bir şans verirseniz, diğer misafirlerimizin vazgeçemediği muhteşem konaklama deneyimlerini size de yaşatabilmek için elimizden geleni yapacağımızı garanti ederiz. Saygılarımızla,",Kötü bir deneyim,1,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,3 katkı
Green Bay Resort & Spa,Onur -Gülhan Başar çifti 11 Temmuz 14 Temmuz arasında otelde rezervasyonumuz vardı.Gelmeden önce yorumlara baktığımda çoğunlukla olumlu yorumla karşılaşmıştım .Oraya vardığımız andan itibaren bizi güleryüzlü personel karşıladı .Odalarımız sevis yeme içme de kalite son derece yeterli idi .Otel dolu olmasına rağmen rahatça plajda havuzlarda yer bulabildik.Sabah ne zaman gidersek gidelim yer bulma sorunu yaşamadık .Denİzi mükemmel diyebilirim sadece 5 mt sonra derinleşiyor dikkat edilmesi gerekir .Son senelerde tatilimizi geçirdiğimiz en güzel ve düzenli otel diyebilirim .Herkese de gönül rahatlığıyla tavsiye ederim .Mutlaka tekrar tatilimi burda geçirmek için geleceğim .(Not :4-8 snack barda bize kokteyllerimizi hazırlayan Doğukan beyi asla unutmayacağız .işini bu kadar severek yapan bir barmen inanın görmedim.Sevgilerimizi iletiyoruz.),Mükemmel bir deneyim,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"11-15 temmuz tarihleri arasında konakladık. Öncelikle otel konum olarak süper bir yerde. Hemen hemen kendine ait bir koyda. Bu deniz olarak da çok büyük bir avantaj sağlıyor. Deniz hep sakin dalga yok. Evet hemen derinleşiyor ve dip kum olduğu için berrak değil ama inanın mükemmel bir su. Sırf denizi için bile tercih edilebilir. Otelin diğer özelliklerine gelirsek; 1. Odalar küçük ancak yeterli. House keeping iyi çalışıyor. Otel küçük olduğundan odaya ulaşım çok rahat. 2.otel büyük değil ve kompakt bir otel. Her yer çok yakın, yormuyor. 3.plajda şezlong sıkıntısı olmuyor (otel full idi) 4.restaurantlarda yemek çeşidi çok fazla değil ama inanın olan yemekler çok lezzetli. Ne oteller gördüm burdan çok fazla çeşit vardı ama hepsi yapılmış olmak için vardı sanki. Burada lezzetsiz bur şey yemedik. Executive şefin emeğine sağlık. Ancak önümüzdeki dönemde kendisinin bütçesibiraz daha artırılır sa daha guzel olacaktır. 5. İçecekler markalı ve çakma bir şey yok. Yeterli. 6.alacart restaurant ambiansı ve sunum güzel, yemekler lezzetli 7.çalısanlar gerçekten otele değer katıyor. Resepsiyondan enes, lobi bar kadir, snack restaurant reyşan ve 4.8 bardan Doğukan ismini hatırladığım takdiri hak eden arkadaşlar. Ancak bu diğer personelin de hakkını yemek gibi algılanmasin , bütün çalışanların emeklerine sağlık. Bu kadar olumlu sözden sonra olumsuz yanlarına da gelirsek otelde gece eğlencesi hiç yok diyebiliriz . Animasyon gündüz birseyler yapmaya çalışıyor ancak akşam yemeği sonrası tam bir inziva . Eğer tüm sene yoğun çalıştı iseniz ve kendinizi yavaşlatmak ve sakinleştirmek ise amacınız, evet bu otel çok doğru seçim, ama biraz eğlenelim diyorsanız otelde böyle bir şans yok . Bodrum gece turu şart, çocuk varsa da bu pek mümkün değil tabi. İşletmeye yonelik 2 tavsiyem yönetime; 1. Bence otelin en güzel konumdaki yeri clam bar. Ancak akşamları ne yazikki hizmet vermiyor . Belki 4.8 yakın diye bu tercih ama personel aksiyonu alarak buranın gece hizmet vermesinin ilgi çekeceği inancındayım. Ben her gece içeceğimi 4.8 den alıp burada oturdum ve çok kişi benim gibi yaptı. Yorumları aynı idi. 2.beer garden olarak dizayn edilen bölge efektif kullanılamıyor. Hem barın imkanları artırılıp sunulan biralar cesitlenmeli, hem de çalışma saatleri üzerinde düşünülmeli. Son olarak geçen yıl burada konaklama yapmış ve bu sene tekrar gelen bir çiftle tanıştık, bu sene el değiştirmeden sonra hizmetin çok daha iyi olduğunu söylediler. Bunu da belirtmek istedim.",Sakin ve huzurlu bir aile oteli,4,Tem 2024,"İstanbul, Türkiye",Temmuz 2024,Aileyle seyahat etti,,,,,,3 katkı
Green Bay Resort & Spa,"Değerli 703salihy, Otelimizle ilgili güzel yorumlarınız için teşekkür ederiz! Konaklamanızdan memnun kaldığınıza sevindik.Eleştirileriniz bizim için çok değerli.Bu sayede kaliteden ödün vermeden kendimizi yenileyebiliyoruz. En kısa zamanda sizi otelimizde tekrar misafir etmekten mutluluk duyarız. Saygılarımızla,",Otel çok iyi personel.cok ilgili,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,3 katkı
Green Bay Resort & Spa,"Otel güzeldi, çalışanların hepsi ilgili güler yüzlü insanlardı. Etkinlikler, gösteriler, karaoke vs. eğlenceli ve güzeldi. Şansım olsa 1 hafta daha kalırdım. Çalışanlardan animasyon ekibinden Tan'a, Romeo'ya ve bar çalışanı Doğukan Abi'ye, İsa'ya selamlar ve teşekkürler.",Güzel oteldi,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"Şuan otelde tatilimizin 4.günündeyiz ailecek geldik. Oteli Tatilbudur dan aldık.olumsuz yorumlar sebebi ile okadar çok iptal etmek arasında kaldık ki son anda şansa diyip otele giriş yaptık. İlk girdiğimiz andan itibaren kapıda karşılandık valizlerimiz taşındı odamız ayarlandı. Temizliğe okadar düşkün biriyim ki fazlası ile korkarak geldim ve otel girişinde ki temizlik kokusu beni odaya kadar mest etti:) heyecanla odanın temizliğini beklerken içim rahatladı temiz düzenli bir oda ufak tefek eksiklikler var evet ama sonuç olarak burası bir tatil oteli deniz kum , biraz normal geliyor. böylece tatilimiz güzel başladı. Deniz mükemmel havuzlar gayet büyük otel dolu olmasına rağmen o kalabalık sizi yormuyor çünkü kapasite fazlası ile büyük. En şaşırdığım helal olsun dediğim bir diğer konu ise dışarı da ki genel kullanım WC’leri ben bu kalabalığa böyle temiz WC’ler görmedim tebrik ederim.Yorumlarda yemeklerin kötü olduğunu ve yetersiz aynı çeşit olduğunu yazmışlar asla inanmayın hergün yeni çeşit dolu dolu yemekler, çalışanlar fazlasıyla saygılı ve yardımcı okadar koşturmalarına rağmen güleçler en büyük teşekkürümüz onlara 🙏🏽 ve bizi rahatsız eden tek prüz ise sonraki günlerdeki oda temizliği çarşaflar değiştirilmiyor odanın yerlerini ve WC yi temizleyip silip gidiyorlar, günlük bunların değişmesi gerekli bir durum bu konuyu dikkate almalarını rica ederim onun dışında bir pürüz yaşamadık herkese çok teşekkür ederiz mutlu huzurlu bir tatil geçirdik. Benim gibi tereddütte kalanlar içiniz rahat olsun. Seneye inşallah tekrar buradayız görüşmek üzere",Yasemin,4,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,"Merhaba, öncelikle ilk girdiğim an dan itibaren karşılaştığım herkes çok kibar (arada bir kaç kişi hariç,bu kadar olmasıda doğal:) bir çok otelde konakladım çoğu işletmede çalışanlar memnuniyetsiz di. Eve odalar biraz eski fakat dert edecek kadar sorun değil. Minibar da cola fanta sprite ve su veriliyor günlük olarak. Şunu özellikle belirtmek istiyorum yemekler daha önce yediğim otel yemekleri gibi birbirine benzeyen standart bir tat yok aksine bu zamana kadar konakladığım yaklaşık 20 otelden daha lezzetliydi herkesin eline ve emeğine sağlık teşekkür ederim.Hatta öğlen restaurantta dondurma verip yemekten sonrada waffle yapan ablam her yerde olmasına rağmen hep güleryüzlüydü teşekkür ederim. Sizlerde burada bizlerin rahatı için emek veren arkadaşlara bir teşekkürü çok görmeyin bence su bile alsanız teşekkür edin. Havuz yeterli her yer temiz ve düzenli tutulma çabası içinde bu daha da büyük bir emek.Denizi güzel şezlong yeterli öyle şezlong peşinde koşturmaya gerek kalmıyor. İlk günümde izlenimlerim budur",Güzel Bir Başlangıç:),5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,"Öncelikle Otele ilk girişten itibaren bizim ile ilgilenen şafak beye teşekkür ederiz. 4.8 barda ki ilgi çok övülmüştü fakat resepsiyonda hazırlayanlar kesinlikle daha özenli ve güzel hazırlıyorlar diğer yerlerde kahvesinden kokteyline hep baştan savma hazırlandı. Çocuk dostu otel kids club ,mini club başta olmak üzere çocuklar için oldukça güzel aktiviteler bulunuyor. Zehra hanıma ilgisinden teşekkür ederiz. Ayrıca odamız hergün temizlendi. Yemekler herkese uygun çeşit oldukça boldu. Kuzu kol , et ızgara vs. inanılmaz lezzetlilerdi. Denizi söylenildiği gibi derin ve bulanık ama yeterli balıklar ile yüzüyorsunuz.",Genel yorum,4,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,6 katkı
Green Bay Resort & Spa,Otelden çok memnun kaldık temiz ve yemeklerı lezzetliydi özellikle 4/8feet bar daki barmen dogukan beyin güler yüzü ve hizmetinden çok memnun kaldık teşekkürler animasyon ekibi taylan gamze ilker ve müdürleri sinan bey misafirlerle çok ilgili ve alakalıydı bizleri çok eylendırdıler ve ilgilendiler hepsine çok teşekkür ederim saygılar.,Saygı ile hizmette kusursuz,5,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Halen otelde konaklamaktayım. Artı ve eksik yönlerini belirtmek istedim. Otel konum olarak harika bir noktada. Denizi muhteşem dalga yok sanki çarşaf gibi bir denizi var sahil ve deniz tabanı kum olduğundan dolayı biraz bulanık ama muhteşem bir denizi var. Çabuk derinleşiyor yüzme bilmeyenler dikkat etmeli. Etrafında başka bir otel olmadığından her yer yeşillik ve orman. Havuzları yeterli zaten denizin güzelliğinden dolayı herkes sahili tercih ediyor. Diğer oteller gibi havuz başında yer kapma olayı yok herkes sahili tercih etmekte. Yeme içme konusunda kahvaltı ve ana yemekler lezzetli ancak çeşit olarak yetersiz geldi bana biraz daha özellikle et yemekleri çeşitlendirilebilir. Fiyat performans olarak yeterli bşr otel. Ama şunu belirtmek isterim insan denizi ve doğası için bile buraya gelebilir,Huzurlu sakin bir tatil,4,Tem 2024,,Temmuz 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,Oncelikle sunu soylemek isterim restoranlardaki tabaklar ve bardaki bardaklar pis ve lekeli geliyor. Onceki yemekten yemek artigi olan tabaklara cok denk geldik. Oda temizligi cok titizseniz sizi rahatsiz edebilir ama bu kadardan birsey olmaz derseniz yeterli olur. TURKISH NIGHT duzenleyip ARAPCA sarki ile aksam etkinligi duzenlemek beni asiri uzdu ve sinirlendirdi. Bunlar haricinde hersey harikaydi ozellikle denizine asik olursunuz. Kapali koy olmasindan dolayi saat kac olursa olsun sicakligi yeterli olan havuz gibi bir deniz sizi karsiliyor. Otel full dolu olmasina ragmen her zaman denizde havuzda yer bulabiliyorsunuz. Biraz kafa dinlemek icin ideal bir otel. Adult havuza aksam 5 e kadar kesinlikle cocuk giremiyor. Animasyon ekibi harika isler cikartti cok kibarlar ve enerjileri ile sizi her turlu eglendiriyorlar. Hepsine cok tesekkur ediyoruz. Snack bardaki Emir beyin guler yuzlulugu ve isini seven hali bizi cok memnun etti ayrica 4.8 bardaki Dogukan beyin kaliteli kokteyllerinide es gecemeyecegim. ben rakip firma ya da karalama cabasinda ki memnuniyetsiz misafirlerden degilim. Cunku sikayetler icin aradiginizda size rakip firma yorumlari vs diyorlar. Basta saydiklarim haric biz genel olarak memnun kaldik. Saygilar.,Hersey guzel sadece 1-2 eksik,4,Tem 2024,,Haziran 2024,Çift olarak seyahat etti,,,,,,1 katkı
Green Bay Resort & Spa,Otel Yer olarak güzel Bir koyu Hizmette sınır yok Snack resturant animasyon ekibi Akşamlar belli saatlerde çocuklar için eğlence mini club resturant yemekleri süper servis departmanı özellikle harika bunu da yazmadan geçemem 4.8 feet barda bulunan şimdiye kadar gördügüm en iyi barmenlerden Sayın Doğukan beye yaptıgı görselli hem Ekşi Ve hem tatlı kokteylerden memnuniyetimizi hem kendine Hem Müdürü Mustafa beye ve Otelin bütün departmanlarına iletiyoruz. Herşey için çok tesekkürler seneye İnşallah görüsmek üzere sağlıcakla kalın.. Tatilimizi eşsiz kılan Doğukan beye ve Otelde Bütün personellere sonsuz tesekkürler.,Çok güzel bir hafta geçirdik,5,Tem 2024,,Haziran 2024,Aileyle seyahat etti,,,,,,2 katkı
Green Bay Resort & Spa,"Otel temiz ve bakımlı, sadece odaları çok dar, aile odasında ranzali odada kalmanıza rağmen çok dar geldi.. temiz ve doğası mükemmel, ormanın içinde konumlanmış berrak bir denizi var.. yemekleri vasat ama hijyen on planda , tercih edilebilir bir otel.. havuzu aquaparki güzel",Greenbay,5,Haz 2024,"Muğla, Türkiye",Haziran 2024,Aileyle seyahat etti,,,,,,51 katkı
